player,club,games_played,games_started,mins,sub,goals,pass,assists,total_scoring_attempts,on_target_scoring_attempts,key_passes,expected_goals,fouls,fouls_suffered,offside,yellow_cards,total_red_cards
sebastian-breza,MTL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
yannick-bright,MIA,4,3,256,1,0,91.2,0,0,0,1,0,6,8,0,3
andrew-brody,SKC,1,0,34,1,0,88.2,0,0,0,0,0,0,1,0,0
lachlan-brook,RSL,2,0,69,2,0,76,0,4,0,1,0.16,1,0,1,1
tristan-brown,CLB,1,0,17,1,0,68.8,0,1,0,0,0.03,0,0,0,0
javain-brown,RSL,3,3,195,0,0,89.5,0,4,1,0,0.43,5,2,0,1
gaston-brugman,NSH,4,1,108,3,0,79.3,1,0,0,0,0,4,4,0,0
heine-bruseth,SD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ola-brynhildsen,TOR,3,1,107,2,0,53.9,0,0,0,1,0,3,2,1,0
pavel-bucha,CIN,6,5,481,1,0,88.7,2,6,2,11,0.32,5,4,0,0
noel-buck,NE,2,0,22,2,0,92.3,0,0,0,0,0,1,0,0,0
jesus-bueno,PHI,2,0,16,2,0,89.5,0,0,0,0,0,1,1,0,0
dawid-bugaj,MTL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
teal-bunbury,NSH,5,0,35,5,0,79,0,4,0,0,0.68,0,3,0,0
roman-burki,STL,3,3,270,0,0,67,0,0,0,0,0,0,1,0,0
evan-bush,CLB,1,1,90,0,0,92.3,0,0,0,0,0,0,0,0,0
sergio-busquets,MIA,5,5,442,0,0,87.4,1,0,0,1,0,6,13,0,1
brandon-bye,NE,4,3,253,1,0,76.6,0,0,0,2,0,0,0,0,0
nathan-byrne,CLT,6,6,540,0,0,78.9,0,0,0,4,0,2,3,0,0
kevin-cabral,COL,6,6,405,0,0,79.2,0,5,2,2,0.61,5,9,1,0
rafael-cabral,RSL,6,6,540,0,0,78.9,0,0,0,0,0,0,1,0,1
manuel-cafumana,DAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
drake-callender,MIA,1,0,4,1,0,28.6,0,0,0,0,0,0,0,0,0
leonardo-campana,NE,3,3,190,0,0,72.9,0,5,1,1,0.44,2,0,0,0
george-campbell,MTL,4,4,354,0,0,88.5,1,4,1,1,0.55,4,6,0,0
reggie-cannon,COL,4,4,353,0,0,73.8,0,0,0,1,0,5,4,0,1
gustavo-caraballo,ORL,3,0,7,3,0,90.9,0,0,0,1,0,0,2,0,0
felipe-carballo,RBNY,5,0,88,5,0,86.2,1,2,0,2,0.04,3,1,0,1
wikelman-carmona,RBNY,6,2,189,4,0,84,0,3,0,1,0.14,1,4,0,0
antonio-carrera,DAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
maximo-carrizo,NYC,1,0,17,1,0,0,0,0,0,1,0,0,0,0,0
julio-cascante,ATX,4,2,156,2,0,90.3,0,0,0,1,0,3,3,0,0
jacob-castro,SEA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
austin-causey,RBNY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nico-cavallo,NYC,3,1,51,2,0,69.2,0,0,0,0,0,0,0,0,0
brayan-ceballos,NE,4,4,360,0,0,80,0,2,0,0,0.08,6,1,0,1
roman-celentano-x4766,CIN,6,6,540,0,0,74,0,0,0,0,0,0,1,0,0
edwin-cerrillo,LA,6,6,493,0,0,93.3,1,5,0,3,0.17,10,3,0,2
dylan-chambost,CLB,6,6,539,0,0,85.6,2,5,1,8,0.43,5,5,0,1
maxime-chanot,LAFC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
diego-chara,POR,6,4,429,2,0,92.5,0,2,0,3,0.06,11,5,0,1
yevhen-cheberko,CLB,6,6,540,0,0,91.8,0,1,0,4,0.33,3,9,0,0
stefan-chirilla,CIN,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
dominik-chong-qui,ATL,2,1,60,1,0,69.6,0,0,0,1,0,0,1,0,0
markus-cimermancic,TOR,4,3,220,1,0,80.5,0,1,0,1,0.04,3,1,2,0
caden-clark,MTL,6,4,381,2,0,71.9,1,5,1,5,0.54,4,4,2,1
stefan-cleveland,ATX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
noah-cobb,ATL,2,0,23,2,0,76.2,0,0,0,0,0,1,0,0,0
alonso-coello,TOR,6,5,403,1,0,81.6,0,1,0,4,0.03,4,3,0,0
josh-cohen,ATL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
michael-collodi,DAL,1,1,90,0,0,68.6,0,0,0,0,0,0,0,0,0
theo-corbeanu,TOR,4,2,202,2,0,82.9,0,5,1,5,0.3,2,1,3,0
matthew-corcoran,NSH,2,2,148,0,0,81.9,0,0,0,0,0,3,0,0,1
carlos-miguel-coronel,RBNY,5,5,450,0,0,57.5,0,0,0,0,0,0,0,0,0
brandan-craig,MTL,2,1,106,1,0,91,0,0,0,0,0,3,0,0,1
benjamin-cremaschi,MIA,5,4,289,1,0,78.6,2,1,1,3,0.1,6,1,0,3
maxime-crepeau,POR,1,1,90,0,0,57.8,0,0,0,0,0,0,0,0,0
pedro-cruz,HOU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
andres-cubas,VAN,5,5,381,0,0,90.9,0,0,0,1,0,11,7,0,1
christopher-cupps,CHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jacob-davis,SKC,6,6,499,0,0,82.9,1,3,0,6,0.16,10,2,0,2
pedro-de-la-vega,SEA,3,1,84,2,0,80.4,0,1,0,1,0.06,0,2,0,0
artur,HOU,6,6,540,0,0,88.3,0,3,0,4,0.12,7,7,0,1
daniel,SJ,6,6,540,0,0,67.6,0,0,0,0,0,0,3,0,1
jonathan-dean,CHI,4,4,275,0,0,78,0,2,1,4,0.11,3,1,0,0
patrickson-delgado,DAL,5,2,146,3,0,92.5,0,1,0,1,0.07,0,4,0,0
marky-delgado,LAFC,6,5,415,1,0,86,2,1,0,7,0.58,4,9,0,0
mikkel-desler,ATX,3,3,239,0,0,80.7,0,2,0,3,0.13,3,4,0,1
djibril-diani,CLT,4,0,81,4,0,91.5,0,1,0,0,0.06,5,2,0,1
jefferson-diaz,MIN,5,3,273,2,0,70.2,1,1,0,4,0.03,2,1,0,0
luis-diaz-espinoza,NE,5,0,70,5,0,79,0,3,0,1,0.09,4,7,2,0
griffin-dillon,RSL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
