name;club;games_played;games_started;mins;goals;left_footed_shots;right_footed_shots;goals_average_over_90_minutes;headed_shots;penalty_kick_goals;penalty_kick_taken;expected_goals;total_scoring_attempts;on_target_scoring_attempts;accurate_shooting_percentage;shots_conversion;offside;corner_kicks;goals_plus_assists
eduard-lowen;STL;23;21;1863;5;9;45;0.24;1;3;4;5.98;55;18;32.7;9.1;2;61;9
luis-muriel;ORL;33;14;1582;5;8;44;0.28;3;2;2;4.96;55;17;30.9;9.1;6;6;12
alex-muyl;NSH;34;27;2307;5;7;18;0.2;8;0;0;4.65;34;12;35.3;14.7;8;1;7
ezequiel-ponce;HOU;10;9;745;5;7;13;0.6;5;1;1;4.54;25;14;56;20;3;0;5
paul-rothrock;SEA;25;13;1317;5;8;22;0.34;2;0;0;4.88;32;11;34.4;15.6;4;5;7
jacen-russell-rowe;CLB;22;10;1034;5;9;14;0.44;6;0;0;4.2;30;15;50;16.7;1;0;6
quinn-sullivan;PHI;34;25;2402;5;9;68;0.19;0;0;0;5.16;77;24;31.2;6.5;5;2;16
robert-taylor;MIA;27;22;1660;5;4;20;0.27;2;0;0;4.32;26;13;50;19.2;11;18;10
cedric-teuchert;STL;10;10;762;5;6;18;0.59;1;0;0;2.18;25;9;36;20;1;0;9
hannes-wolf;NYC;34;32;2582;5;33;13;0.17;1;0;0;5.68;47;19;40.4;10.6;9;41;13
stephen-afrifa;SKC;24;9;790;4;7;21;0.46;4;0;0;3.75;32;11;34.4;12.5;4;0;5
jordi-alba;MIA;28;24;2231;4;13;4;0.16;0;0;0;2.75;17;8;47.1;23.5;15;17;18
maximilian-arfsten;CLB;31;23;1973;4;21;17;0.18;3;0;0;4.19;41;14;34.1;9.8;11;5;12
eduard-atuesta;LAFC;28;25;2197;4;8;23;0.16;4;0;0;2.74;35;14;40;11.4;1;65;10
mounsef-bakrar;NYC;28;14;1349;4;21;33;0.27;4;0;0;8.94;58;19;32.8;6.9;14;0;5
simon-becher;STL;9;6;550;4;1;8;0.65;2;0;0;1.58;11;7;63.6;36.4;3;0;4
pavel-bucha;CIN;33;33;2920;4;8;35;0.12;0;0;0;3.21;43;11;25.6;9.3;1;1;9
caden-clark;MTL;9;8;675;4;4;9;0.53;1;0;0;2.74;14;9;64.3;28.6;0;0;8
matias-coccaro;MTL;22;10;904;4;5;13;0.4;10;2;2;5.12;29;14;48.3;13.8;6;0;5
