name;height;weight;date_of_birth;birthplace;position;footedness;roster_category;player_category
Ethan Bartlow;6' 0\";170 lbs;2.2.2000 (25);Woodinville, WA, USA;Defender;;Senior;
Jacob Bartlett;6' 2\";161 lbs;10.7.2005 (19);Overland Park, KS, USA;Defender;;;
Alejandro Bedoya;5' 11\";161 lbs;4.29.1987 (37);Englewood, NJ, USA;Midfielder;Right;Senior;
Sebastian Berhalter;5' 9\";154 lbs;5.10.2001 (23);London, England;Midfielder;;Supplemental Slots 29-30;Homegrown
Jonathan Bell;5' 11\";165 lbs;8.26.1997 (27);Rockville, MD, USA;Defender;;Supplemental Slots 21-24;
Miguel Berry;6' 3\";181 lbs;9.16.1997 (27);Barcelona, Spain;Forward;;Senior;
Adam Beaudry;6' 2\";;4.18.2006 (18);unknown, USA;Goalkeeper;;;Homegrown
David Bingham;6' 2\";185 lbs;10.19.1989 (35);Castro Valley, CA, USA;Goalkeeper;;Supplemental Slots 21-24;
Andre Blake;6' 2\";172 lbs;11.21.1990 (34);May Pen, Jamaica;Goalkeeper;Right;Senior;
Emmanuel Boateng;5' 6\";150 lbs;1.17.1994 (31);Accra, Ghana;Midfielder;;Senior;
Ramiro Benetti;5' 7\";;5.22.1993 (31);Gramado, Brazil;Midfielder;;;
Ben Bender;6' 0\";165 lbs;3.7.2001 (24);Baltimore, MD, USA;Midfielder;;Supplemental Slots 21-24;Generation adidas
;;;;;;;;
Wiktor Bogacz;6' 4\";;7.14.2004 (20);Starachowice, Poland;Forward;;;
Isaac Boehmer;6' 2\";185 lbs;11.20.2001 (23);Penticton, BC, Canada;Goalkeeper;;Supplemental Slots 25-28;Homegrown
David Brekalo;6' 2\";194 lbs;12.3.1998 (26);Ljubljana, Slovenia;Defender;;Senior;International
Dylan Borso;5' 11\";165 lbs;6.2.2006 (18);Chicago, IL, USA;Midfielder;;;
Chris Brady;6' 3\";170 lbs;3.3.2004 (21);Naperville, IL, USA;Goalkeeper;;Senior;Homegrown
Claudio Bravo;5' 7\";150 lbs;3.13.1997 (28);Quilmes, Argentina;Defender;Left;Senior;International
