name;club;games_played;games_started;mins;completed_passes;total_pass;accurate_pass;key_passes;corner_kicks;succesfull_crosses;assists;assists_average_over_90_minutes;accurate_long_balls;succesfull_short_passes;cross_perc;free_kicks
eduard-lowen;STL;23;21;1863;1006;1242;81;49;61;25;4;0.19;54;297;29.07;109
sam-vines;COL;27;24;2170;1006;1180;85.3;16;0;10;1;0.04;41;314;27.03;22
michael-boxall;MIN;32;32;2835;998;1152;86.6;8;0;0;1;0.03;34;180;0;50
daniel-pereira;ATX;26;23;2040;997;1096;91;24;25;14;5;0.22;39;304;40;52
mathias-laborda;VAN;26;23;1956;992;1134;87.5;6;0;1;0;0;41;153;7.14;21
wil-trapp;MIN;27;26;2302;990;1150;86.1;19;1;3;3;0.12;34;271;33.33;26
julio-cascante;ATX;25;21;1868;989;1120;88.3;5;0;0;0;0;41;209;0;31
bryce-duke;MTL;32;24;2143;986;1170;84.3;42;24;10;5;0.21;14;466;25.64;20
alonso-coello;TOR;25;20;1540;984;1138;86.5;18;0;2;2;0.12;53;328;66.67;30
hany-mukhtar;NSH;32;31;2749;983;1182;83.2;88;119;46;10;0.33;23;340;28.57;69
aaron-herrera;DC;30;29;2595;977;1195;81.8;39;2;24;8;0.28;78;231;32.43;29
sebastian-lletget;DAL;31;20;1862;977;1074;91;43;60;26;8;0.39;28;373;33.33;36
joao-paulo;SEA;21;16;1280;976;1100;88.7;24;22;12;2;0.14;27;303;35.29;52
kevin-o-toole;NYC;30;28;2391;973;1127;86.3;29;2;14;2;0.08;10;332;30.43;14
sergii-kryvstov;MIA;23;16;1388;966;1036;93.2;2;0;0;0;0;27;176;0;18
dany-rosero;SKC;23;22;1893;960;1096;87.6;2;0;0;0;0;69;165;0;21
oliver-larraz;COL;34;25;2205;958;1087;88.1;19;12;5;0;0;32;302;16.67;33
sergi-palencia;LAFC;30;26;2294;946;1126;84;23;1;8;4;0.16;38;200;22.86;29
brad-stuver;ATX;34;34;3060;945;1264;74.8;0;0;0;0;0;104;93;0;102
daniel-lovitz;NSH;28;25;2269;941;1174;80.2;27;23;18;1;0.04;52;174;33.33;33
gaston-gimenez;CHI;29;18;1687;937;1085;86.4;20;3;1;3;0.16;48;271;20;43
raoul-petretta;TOR;27;25;1910;929;1034;89.8;11;1;6;3;0.14;22;354;37.5;32
santiago-moreno;POR;31;29;2443;928;1140;81.4;66;18;12;14;0.52;36;354;19.67;17
lorenzo-insigne;TOR;23;17;1356;926;1077;86;27;21;8;7;0.46;42;327;34.78;46
andres-cubas;VAN;24;23;1934;924;1008;91.7;1;0;0;3;0.14;56;209;0;21
