name;club;games_played;games_started;mins;goals_against;aerial_duels;areial_duel_perc;clearances;fouls;interception
jermaine-jones;COL;9;8;725;5;48;56.3;10;21;7
raul-mendiola;LA;6;5;375;5;6;0;0;2;9
paulo-nagamura;SKC;9;6;526;5;12;41.7;8;13;3
leonardo;LA;4;4;360;5;6;66.7;18;8;11
mauro-rosales;DAL;23;4;544;5;11;45.5;0;8;3
rodrigo-saravia;CLB;10;1;208;5;2;50;4;3;8
shaun-wright-phillips;RBNY;7;1;121;5;6;33.3;0;3;3
samba;NE;2;1;91;4;4;75;4;1;4
amadou-dia;MTL;1;1;90;4;0;0;1;4;0
andrew-dykstra;DC;1;1;90;4;0;0;0;1;0
innocent;SJ;6;1;115;4;2;50;0;1;0
kianz-froese;VAN;5;1;150;4;5;40;0;3;2
femi-hollinger-janzen;NE;19;1;273;4;29;48.3;2;5;2
collin-martin;DC;2;1;91;4;0;0;1;2;0
david-rocha;HOU;4;0;57;4;1;0;0;2;2
walter-restrepo;PHI;4;0;81;4;4;25;1;5;0
tosaint-ricketts;TOR;11;4;399;4;34;47.1;3;3;2
dave-romney;LA;10;8;730;4;33;60.6;34;4;19
matheus-silva;SJ;4;2;139;4;4;25;3;3;5
seth-sinovic;SKC;9;6;532;4;12;58.3;10;7;14
donnie-smith;NE;3;2;213;4;6;50;3;1;7
sam-adekugbe;VAN;2;1;111;3;2;0;1;2;2
tony-alfaro;SEA;6;1;286;3;11;27.3;8;1;6
colin-bonner;DAL;1;1;27;3;3;0;1;1;0
keyner-brown;HOU;4;3;285;3;10;30;9;2;9
david-choiniere;MTL;1;1;76;3;2;50;0;1;0
aurelien-collin;ORL;2;1;135;3;10;60;8;1;6
charlie-davies;PHI;8;0;81;3;1;0;0;1;0
clement-diop;LA;2;2;180;3;0;0;4;0;1
landon-donovan;LA;6;2;233;3;4;50;2;2;3
oniel-fisher;SEA;6;2;232;3;2;50;5;10;6
harrison-heath;ORL;3;3;223;3;0;0;0;3;1
zachary-herivaux;NE;5;0;38;3;0;0;0;1;2
dan-kennedy;LA;3;2;115;3;1;100;2;0;1
eric-kronberg;MTL;2;1;128;3;0;0;0;0;0
carlos-lizarazo;DAL;8;2;161;3;0;0;0;3;0
diego-martinez;NYC;4;2;263;3;16;50;5;6;12
cristian-martinez;CLB;5;2;197;3;9;11.1;1;6;2
john-mccarthy;PHI;1;1;90;3;0;0;0;0;0
patrick-mclain;CHI;1;1;90;3;1;100;1;0;0
ashtone-morgan;TOR;7;0;157;3;6;16.7;1;6;3
juan-esteban-ortiz;DAL;5;2;171;3;4;50;3;5;6
jordi-quintilla;SKC;6;6;410;3;1;0;1;4;6
chris-schuler;RSL;4;3;271;3;21;61.9;12;5;13
ever-alvarado;SKC;1;0;29;2;0;0;1;0;1
getterson;DAL;4;2;152;2;5;60;0;2;1
emmanuel-appiah;SKC;1;1;90;2;6;50;0;0;0
eric-ayuk;PHI;1;1;90;2;9;44.4;0;0;2
justin-bilyeu;RBNY;3;1;117;2;6;50;2;1;4
caleb-calvert;COL;8;1;165;2;14;50;1;4;0
conor-casey;CLB;4;0;35;2;1;0;0;2;0
